##,Date ,Location,Type,Value
##1,01/03/2022,Bathroom,Flushing,5
##2,01/03/2022,Bathroom,Flushing,5
##3,01/03/2022,Bathroom,Flushing,5
##4,01/03/2022,Bathroom,Flushing,5
##5,01/03/2022,Bathroom,Flushing,5
##6,01/03/2022,Bathroom,Flushing,5
##7,01/03/2022,Bathroom,Flushing,5
##8,01/03/2022,Bathroom,Showering,45
##9,01/03/2022,Bathroom,Tapping/ handbasin,2
##10,01/03/2022,Bathroom,Tapping/ handbasin,2
##11,01/03/2022,Kitchen,Dish Washing,18
##12,01/03/2022,Kitchen,Boiling Water,1
##13,01/03/2022,Kitchen,Tapping/ handbasin,2
##14,01/03/2022,Kitchen,Tapping/ handbasin,2
##15,02/03/2022,Bathroom,Flushing,5
##16,02/03/2022,Bathroom,Flushing,5
##17,02/03/2022,Bathroom,Flushing,5
##18,02/03/2022,Bathroom,Flushing,5
##19,02/03/2022,Bathroom,Showering,45
##20,02/03/2022,Bathroom,Tapping/ handbasin,2
##21,02/03/2022,Bathroom,Tapping/ handbasin,2
##22,02/03/2022,Bathroom,Tapping/ handbasin,2
##23,02/03/2022,Kitchen,Boiling Water,1
##24,02/03/2022,Kitchen,Dish Washing,18
##25,02/03/2022,Kitchen,Dish Washing,18
##26,03/03/2022,Kitchen,Boiling Water,1
##27,03/03/2022,Kitchen,Dish Washing,18
##28,03/03/2022,Kitchen,Dish Washing,18
##29,03/03/2022,Kitchen,Dish Washing,18
##30,03/03/2022,Kitchen,Tapping/ handbasin,2
##31,03/03/2022,Bathroom,Flushing,5
##32,03/03/2022,Bathroom,Flushing,5
##33,03/03/2022,Bathroom,Tapping/ handbasin,2
##34,03/03/2022,Bathroom,Tapping/ handbasin,2
##35,03/03/2022,Bathroom,Tapping/ handbasin,2
##36,04/03/2022,Bathroom,Showering,45
##37,04/03/2022,Bathroom,Showering,45
##38,04/03/2022,Bathroom,Flushing,5
##39,04/03/2022,Bathroom,Flushing,5
##40,04/03/2022,Bathroom,Flushing,5
##41,04/03/2022,Bathroom,Tapping/ handbasin,2
##42,04/03/2022,Kitchen,Tapping/ handbasin,2
##43,04/03/2022,Kitchen,Tapping/ handbasin,2
##44,04/03/2022,Kitchen,Dish Washing,18
##45,04/03/2022,Kitchen,Boiling Water,1
##46,05/03/2022,Bathroom,Flushing,5
##47,05/03/2022,Bathroom,Flushing,5
##48,05/03/2022,Bathroom,Flushing,5
##49,05/03/2022,Bathroom,Flushing,5
##50,05/03/2022,Bathroom,Flushing,5
##51,05/03/2022,Bathroom,Flushing,5
##52,05/03/2022,Bathroom,Flushing,5
##53,05/03/2022,Kitchen,Boiling Water,1
##54,05/03/2022,Kitchen,Dish Washing,18
##55,05/03/2022,Kitchen,Tapping/ handbasin,2
##56,05/03/2022,Kitchen,Tapping/ handbasin,2
##57,06/03/2022,Bathroom,Showering,45
##58,06/03/2022,Bathroom,Showering,45
##59,06/03/2022,Bathroom,Flushing,5
##60,06/03/2022,Bathroom,Flushing,5
##61,06/03/2022,Bathroom,Flushing,5
##62,06/03/2022,Bathroom,Flushing,5
##63,06/03/2022,Kitchen,Dish Washing,18
##64,06/03/2022,Kitchen,Tapping/ handbasin,2
##65,07/03/2022,Kitchen,Boiling Water,1
##66,07/03/2022,Kitchen,Tapping/ handbasin,2
##67,07/03/2022,Kitchen,Tapping/ handbasin,2
##68,07/03/2022,Kitchen,Tapping/ handbasin,2
##69,07/03/2022,Kitchen,Dish Washing,18
##70,07/03/2022,Kitchen,Dish Washing,18
##71,07/03/2022,Kitchen,Dish Washing,18
##72,07/03/2022,Bathroom,Showering,45
##73,07/03/2022,Bathroom,Flushing,5
##74,07/03/2022,Bathroom,Flushing,5
##75,07/03/2022,Bathroom,Flushing,5
