countryName,CODE,data,deaths
Equatorial Guinea,GNQ,2022/5/4,183
Eritrea,ERI,2020/12/31,3
Eritrea,ERI,2021/12/31,76
Eritrea,ERI,2022/5/4,103
Estonia,EST,2020/12/31,229
Estonia,EST,2021/12/31,1932
Estonia,EST,2022/5/4,2548
Ethiopia,ETH,2020/12/31,1923
Ethiopia,ETH,2021/12/31,6937
Ethiopia,ETH,2022/5/4,7510
Fiji,FJI,2020/12/31,2
Fiji,FJI,2021/12/31,698
Fiji,FJI,2022/5/4,862
Finland,FIN,2020/12/31,592
Finland,FIN,2021/12/31,1714
Finland,FIN,2022/5/4,3939
France,FRA,2020/12/31,64758
France,FRA,2021/12/31,124729
France,FRA,2022/5/4,147413
Gabon,GAB,2020/12/31,64
Gabon,GAB,2021/12/31,288
Gabon,GAB,2022/5/4,304
Gambia,GMB,2020/12/31,124
Gambia,GMB,2021/12/31,343
Gambia,GMB,2022/5/4,365
Georgia,GEO,2020/12/31,2505
Georgia,GEO,2021/12/31,13800
Georgia,GEO,2022/5/4,16811
Germany,DEU,2020/12/31,33071
Germany,DEU,2021/12/31,111925
Germany,DEU,2022/5/4,136125
Ghana,GHA,2020/12/31,335
Ghana,GHA,2021/12/31,1295
Ghana,GHA,2022/5/4,1445
Greece,GRC,2020/12/31,4838
Greece,GRC,2021/12/31,20790
Greece,GRC,2022/5/4,29284
Grenada,GRD,2020/12/31,0
Grenada,GRD,2021/12/31,200
Grenada,GRD,2022/5/4,220
Guatemala,GTM,2020/12/31,4813
Guatemala,GTM,2021/12/31,16107
Guatemala,GTM,2022/5/4,17636
Guinea,GIN,2020/12/31,81
Guinea,GIN,2021/12/31,391
Guinea,GIN,2022/5/4,442
Guinea-Bissau,GNB,2020/12/31,45
Guinea-Bissau,GNB,2021/12/31,149
Guinea-Bissau,GNB,2022/5/4,171
Guyana,GUY,2020/12/31,164
Guyana,GUY,2021/12/31,1054
Guyana,GUY,2022/5/4,1228
Haiti,HTI,2020/12/31,236
Haiti,HTI,2021/12/31,766
Haiti,HTI,2022/5/4,835
Holy See,VAT,2020/12/31,0
Holy See,VAT,2021/12/31,0
Holy See,VAT,2022/5/4,0
Honduras,HND,2020/12/31,3130
Honduras,HND,2021/12/31,10433
Honduras,HND,2022/5/4,10895
Hungary,HUN,2020/12/31,9537
Hungary,HUN,2021/12/31,39186
Hungary,HUN,2022/5/4,46266
Iceland,ISL,2020/12/31,29
Iceland,ISL,2021/12/31,37
Iceland,ISL,2022/5/4,119
India,IND,2020/12/31,148994
India,IND,2021/12/31,481486
India,IND,2022/5/4,523975
Indonesia,IDN,2020/12/31,22138
Indonesia,IDN,2021/12/31,144094
Indonesia,IDN,2022/5/4,156321
Iran,IRN,2020/12/31,55223
Iran,IRN,2021/12/31,131606
Iran,IRN,2022/5/4,141138
Iraq,IRQ,2020/12/31,12813
Iraq,IRQ,2021/12/31,24158
Iraq,IRQ,2022/5/4,25212
Ireland,IRL,2020/12/31,2237
Ireland,IRL,2021/12/31,5912
Ireland,IRL,2022/5/4,7103
Israel,ISR,2020/12/31,3325
Israel,ISR,2021/12/31,8243
Israel,ISR,2022/5/4,10699
Italy,ITA,2020/12/31,74159
Italy,ITA,2021/12/31,137402
Italy,ITA,2022/5/4,164041
Jamaica,JAM,2020/12/31,302
Jamaica,JAM,2021/12/31,2473
Jamaica,JAM,2022/5/4,2970
Japan,JPN,2020/12/31,3492
Japan,JPN,2021/12/31,18389
Japan,JPN,2022/5/4,29706
Jordan,JOR,2020/12/31,3834
Jordan,JOR,2021/12/31,12653
Jordan,JOR,2022/5/4,14066
Kazakhstan,KAZ,2020/12/31,2749
Kazakhstan,KAZ,2021/12/31,18211
Kazakhstan,KAZ,2022/5/4,19013
Kenya,KEN,2020/12/31,1670
Kenya,KEN,2021/12/31,5378
Kenya,KEN,2022/5/4,5649
Kiribati,KIR,2020/12/31,0
Kiribati,KIR,2021/12/31,0
Kiribati,KIR,2022/5/4,13
Kuwait,KWT,2020/12/31,934
Kuwait,KWT,2021/12/31,2468
Kuwait,KWT,2022/5/4,2555
Kyrgyzstan,KGZ,2020/12/31,1355
Kyrgyzstan,KGZ,2021/12/31,2802
Kyrgyzstan,KGZ,2022/5/4,2991
Laos,LAO,2020/12/31,0
Laos,LAO,2021/12/31,372
Laos,LAO,2022/5/4,746
Latvia,LVA,2020/12/31,635
Latvia,LVA,2021/12/31,4570
Latvia,LVA,2022/5/4,5777
Lebanon,LBN,2020/12/31,1468
Lebanon,LBN,2021/12/31,9119
Lebanon,LBN,2022/5/4,10392
Lesotho,LSO,2020/12/31,51
Lesotho,LSO,2021/12/31,665
Lesotho,LSO,2022/5/4,697
Liberia,LBR,2020/12/31,83
Liberia,LBR,2021/12/31,287
Liberia,LBR,2022/5/4,294
Libya,LBY,2020/12/31,1478
Libya,LBY,2021/12/31,5710
Libya,LBY,2022/5/4,6430
Liechtenstein,LIE,2020/12/31,44
Liechtenstein,LIE,2021/12/31,69
Liechtenstein,LIE,2022/5/4,84
Lithuania,LTU,2020/12/31,1796
Lithuania,LTU,2021/12/31,7387
Lithuania,LTU,2022/5/4,9111
Luxembourg,LUX,2020/12/31,495
Luxembourg,LUX,2021/12/31,915
Luxembourg,LUX,2022/5/4,1068
Madagascar,MDG,2020/12/31,261
Madagascar,MDG,2021/12/31,1027
Madagascar,MDG,2022/5/4,1391
Malawi,MWI,2020/12/31,189
Malawi,MWI,2021/12/31,2364
Malawi,MWI,2022/5/4,2634
Malaysia,MYS,2020/12/31,471
Malaysia,MYS,2021/12/31,31487
Malaysia,MYS,2022/5/4,35567
Maldives,MDV,2020/12/31,48
Maldives,MDV,2021/12/31,262
Maldives,MDV,2022/5/4,298
Mali,MLI,2020/12/31,269
Mali,MLI,2021/12/31,660
Mali,MLI,2022/5/4,732
Malta,MLT,2020/12/31,219
Malta,MLT,2021/12/31,476
Malta,MLT,2022/5/4,703
Marshall Islands,MHL,2020/12/31,0
Marshall Islands,MHL,2021/12/31,0
Marshall Islands,MHL,2022/5/4,0
Mauritania,MRT,2020/12/31,347
Mauritania,MRT,2021/12/31,866
Mauritania,MRT,2022/5/4,982
Mauritius,MUS,2020/12/31,10
Mauritius,MUS,2021/12/31,786
Mauritius,MUS,2022/5/4,996
Mexico,MEX,2020/12/31,125807
Mexico,MEX,2021/12/31,299428
Mexico,MEX,2022/5/4,324334
Micronesia, Federated States of,2020/12/31,0
Micronesia, Federated States of,2021/12/31,0
Micronesia, Federated States of,2022/5/4,0
Monaco,MCO,2020/12/31,3
Monaco,MCO,2021/12/31,38
Monaco,MCO,2022/5/4,57
Mongolia,MNG,2020/12/31,1
Mongolia,MNG,2021/12/31,2059
Mongolia,MNG,2022/5/4,2179
Montenegro,MNE,2020/12/31,682
Montenegro,MNE,2021/12/31,2411
Montenegro,MNE,2022/5/4,2716
Morocco,MAR,2020/12/31,7388
Morocco,MAR,2021/12/31,14849
Morocco,MAR,2022/5/4,16069
Mozambique,MOZ,2020/12/31,166
Mozambique,MOZ,2021/12/31,2006
Mozambique,MOZ,2022/5/4,2201
Namibia,NAM,2020/12/31,205
Namibia,NAM,2021/12/31,3633
Namibia,NAM,2022/5/4,4025
Nepal,NPL,2020/12/31,1856
Nepal,NPL,2021/12/31,11594
Nepal,NPL,2022/5/4,11952
Netherlands,NLD,2020/12/31,11525
Netherlands,NLD,2021/12/31,21392
Netherlands,NLD,2022/5/4,22893
New Zealand,NZL,2020/12/31,25
